FeatID,Average
1,1.762474573
3,0.204419586
5,0.230709751
6,2.008642463
8,1.957860715
9,1.158631886
10,1.199462404
11,0.354665061
12,0.769151178
13,0.576638758
14,1.557779858
17,1.667599636
18,0.766026237
19,0.393049991
20,2.526187103
21,0.255315406
22,0.305823714
24,0.45289366
25,0.332680964
27,0.744051229
28,0.35248929
29,0.41700724
30,0.45307176
31,0.566908032
32,0.483829931
33,0.281829132
34,0.60256835
35,0.815808474
36,0.794510916
37,0.636722124
38,0.652610915
39,1.371549204
40,1.732991555
41,0.500835022
42,0.612365922
43,1.41957595
44,0.487032214
45,0.513748468
46,0.688181817
48,0.325495362
49,0.317786908
50,2.263127045
51,0.255778404
52,0.432226255
53,1.046950258
54,0.499566716
55,0.366688704
56,0.812765446
57,1.810940372
58,0.289254771
59,2.449888085
60,0.228930999
61,0.552548211
62,0.411288023
63,0.873608099
64,1.005746829
65,1.435754007
66,0.867530375
67,0.482525092
68,0.332732596
69,1.18162715
70,0.602195878
71,0.721812196
72,0.454701154
73,0.294614096
74,0.198213349
75,0.103634075
76,1.437523465
77,0.11430969
78,0.38073063
79,0.083412257
80,0.639767478
81,1.59791458
82,0.537409936
83,0.070665343
84,0.548865293
85,0.541091741
86,0.280413197
87,1.804609962
88,0.337385103
89,0.267620985
90,0.362920468
91,2.046128601
93,0.180563373
94,0.512300053
95,0.706510873
96,2.440969164
97,0.733147143
98,0.525287661
99,1.045774332
100,0.469103356
101,0.397627238
102,0.351371987
103,0.658338138
104,0.504433892
105,1.330675383
107,0.629650995
108,2.16997304
109,0.625334811
110,0.319994163
111,0.391808961
112,1.37711031
113,1.152236211
114,1.066861119
115,1.261503849
116,0.750651311
117,0.968452545
118,1.818170509
119,0.314584448
120,0.315852983
121,0.429544123
122,2.97778732
123,2.609454499
124,0.750539829
125,1.377255359
126,0.407447665
127,0.86357983
128,1.103339059
129,0.350407651
130,0.32685469
132,1.887585115
133,1.347295564
134,0.178751102
136,0.495462261
137,0.557800174
138,1.002961768
139,0.923212541
140,0.362387752
141,0.907899371
142,0.709191617
143,0.779108661
144,0.777178473
145,0.819149514
146,1.083355088
147,0.937698085
148,0.598829342
149,1.427615779
150,0.186471489
151,1.163478435
152,0.549510879
153,1.117061691
154,0.373029775
155,0.387323753
156,1.621363043
157,0.789308813
158,0.784970402
159,0.697471532
160,0.409663647
161,1.702146643
162,1.310750692
163,0.604627574
164,0.910309089
166,0.546286477
167,0.788431392
168,0.469836613
169,0.530418263
170,1.0227726
171,0.034786393
172,1.298180655
